sample	eois_sp1	eois_sp2	quadrus_sp	heraclides_sp	geometridae_sp1	geometridae_sp2	geometridae_sp3	geometridae_sp4	geometridae_sp5	geometridae_sp6	geometridae_sp7	geometridae_sp8	gonodonta_sp1	arctiinae_sp1	arctiinae_sp2	caterpillar_sp1	caterpillar_sp2	memphis_sp
2h1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2h2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6h1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6h2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6h3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17h1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19h2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48h3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65h2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65h3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ch2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2ch1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ch2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ch3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ch1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ch2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ch3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20bh1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21bh2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21bh3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
22bh1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
22bh3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23bh2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
27bh2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
